# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/attendance-lowest
# rows: 8173 (excluding this header and the column row)
# ranking: Texas campuses with the lowest attendance in 2025-26
# population: 8,173 campuses of 9,031 campuses are ranked here.
# population: 556 were not rated by TEA for 2025-26 and are not ranked.
# population: 302 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
1,8173,0,220904105,Dan Powell Early Learning Academy,Everman ISD,C,33.3,577,https://txschools.net/campus/dan-powell-early-learning-academy-220904105
2,8173,0,071902020,College Career Technology Academy (Ccta),El Paso ISD,B,43.4,110,https://txschools.net/campus/college-career-technology-academy-ccta-071902020
3,8173,0,057903003,Grimes Education Center,Carrollton-Farmers Branch ISD,B,47.7,86,https://txschools.net/campus/grimes-education-center-057903003
4,8173,0,232903003,Crossroads Academy,Uvalde CISD,B,53.4,57,https://txschools.net/campus/crossroads-academy-232903003
5,8173,0,146901004,Frederick A Douglass Learning Academy,Cleveland ISD,C,54.5,144,https://txschools.net/campus/frederick-a-douglass-learning-academy-146901004
6,8173,0,003902004,Stubblefield Lrn Ctr,Hudson ISD,A,58.5,19,https://txschools.net/campus/stubblefield-lrn-ctr-003902004
7,8173,0,003903004,Hackney Learning Center,Lufkin ISD,D,59,106,https://txschools.net/campus/hackney-learning-center-003903004
8,8173,0,015905016,Learn4life,Edgewood ISD,C,63.3,230,https://txschools.net/campus/learn4life-015905016
9,8173,0,014801006,Richard Milburn Academy Fort Worth,Richard Milburn Alter High School (Killeen),D,63.9,94,https://txschools.net/campus/richard-milburn-academy-fort-worth-014801006
10,8173,0,227901015,Garza Independence HS,Austin ISD,B,65.9,132,https://txschools.net/campus/garza-independence-hs-227901015
