# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/overall-score-gains
# rows: 7983 (excluding this header and the column row)
# ranking: Texas campuses with the largest overall score gains since 2021-22
# population: 7,983 campuses of 9,031 campuses are ranked here.
# population: 556 were not rated by TEA for 2025-26 and are not ranked.
# population: 492 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,2021_22,2025_26,enrollment,url
1,7983,0,091903002,Pathways HS,Denison ISD,A,41,52,93,60,https://txschools.net/campus/pathways-hs-091903002
2,7983,0,123803103,Tekoa Academy of Accelerated Studies - Orange,Tekoa Academy of Accelerated Studies STEM School,A,36,59,95,108,https://txschools.net/campus/tekoa-academy-of-accelerated-studies-orange-123803103
3,7983,3,187903001,Goodrich HS,Goodrich ISD,A,34,62,96,67,https://txschools.net/campus/goodrich-hs-187903001
3,7983,3,101912007,Kashmere HS,Houston ISD,B,34,55,89,601,https://txschools.net/campus/kashmere-hs-101912007
3,7983,3,101912477,North Forest HS,Houston ISD,A,34,57,91,773,https://txschools.net/campus/north-forest-hs-101912477
3,7983,3,101912020,Yates HS,Houston ISD,A,34,59,93,739,https://txschools.net/campus/yates-hs-101912020
7,7983,3,057905013,Franklin D Roosevelt HS of Innovation,Dallas ISD,B,33,50,83,761,https://txschools.net/campus/franklin-d-roosevelt-hs-of-innovation-057905013
7,7983,3,101912310,Houston Math Science and Technology Center,Houston ISD,A,33,59,92,2074,https://txschools.net/campus/houston-math-science-and-technology-center-101912310
7,7983,3,057905158,Lida Hooe Elem,Dallas ISD,B,33,55,88,292,https://txschools.net/campus/lida-hooe-elem-057905158
7,7983,3,183801001,Panola CS,Panola Charter School,A,33,59,92,29,https://txschools.net/campus/panola-cs-183801001
11,7983,9,057905023,David W Carter HS,Dallas ISD,A,32,59,91,909,https://txschools.net/campus/david-w-carter-hs-057905023
11,7983,9,101912476,Forest Brook MS,Houston ISD,A,32,59,91,550,https://txschools.net/campus/forest-brook-ms-101912476
11,7983,9,057905032,James Madison HS,Dallas ISD,B,32,56,88,279,https://txschools.net/campus/james-madison-hs-057905032
11,7983,9,057905107,Jose 'Joe' May Elem,Dallas ISD,A,32,59,91,707,https://txschools.net/campus/jose-joe-may-elem-057905107
11,7983,9,015822013,Jubilee Westwood,Jubilee Academies,B,32,57,89,71,https://txschools.net/campus/jubilee-westwood-015822013
11,7983,9,101902005,Nimitz HS,Aldine ISD,A,32,58,90,2570,https://txschools.net/campus/nimitz-hs-101902005
11,7983,9,101912024,Scarborough HS,Houston ISD,A,32,58,90,588,https://txschools.net/campus/scarborough-hs-101912024
11,7983,9,057905016,South Oak Cliff HS,Dallas ISD,A,32,59,91,1535,https://txschools.net/campus/south-oak-cliff-hs-057905016
11,7983,9,220905014,Southwest HS,Fort Worth ISD,B,32,56,88,1058,https://txschools.net/campus/southwest-hs-220905014
11,7983,9,101845011,Yes Prep - Southside,Yes Prep Public Schools Inc,A,32,60,92,875,https://txschools.net/campus/yes-prep-southside-101845011
21,7983,2,125901001,Alice HS,Alice ISD,A,31,59,90,1201,https://txschools.net/campus/alice-hs-125901001
21,7983,2,108914001,La Villa Early College HS,La Villa ISD,B,31,56,87,171,https://txschools.net/campus/la-villa-early-college-hs-108914001
21,7983,2,015825001,Lighthouse MS,Lighthouse Public Schools,B,31,56,87,104,https://txschools.net/campus/lighthouse-ms-015825001
24,7983,5,058902001,Dawson School,Dawson ISD,B,30,51,81,145,https://txschools.net/campus/dawson-school-058902001
24,7983,5,101902004,Eisenhower HS,Aldine ISD,B,30,53,83,2012,https://txschools.net/campus/eisenhower-hs-101902004
24,7983,5,057905307,HS Thompson Learning Center,Dallas ISD,B,30,54,84,511,https://txschools.net/campus/hs-thompson-learning-center-057905307
24,7983,5,160905001,Lohn School,Lohn ISD,B,30,56,86,109,https://txschools.net/campus/lohn-school-160905001
24,7983,5,123803001,Tekoa Academy of Accelerated Studies,Tekoa Academy of Accelerated Studies STEM School,A,30,69,99,38,https://txschools.net/campus/tekoa-academy-of-accelerated-studies-123803001
24,7983,5,101912018,Wheatley HS,Houston ISD,A,30,62,92,494,https://txschools.net/campus/wheatley-hs-101912018
30,7983,3,101912062,Fleming McReynolds MS,Houston ISD,B,29,59,88,270,https://txschools.net/campus/fleming-mcreynolds-ms-101912062
30,7983,3,202903001,Hemphill HS,Hemphill ISD,A,29,65,94,204,https://txschools.net/campus/hemphill-hs-202903001
30,7983,3,015822001,Jubilee San Antonio,Jubilee Academies,B,29,58,87,975,https://txschools.net/campus/jubilee-san-antonio-015822001
30,7983,3,057905015,Seagoville HS,Dallas ISD,B,29,58,87,1656,https://txschools.net/campus/seagoville-hs-057905015
34,7983,10,039904001,Bellevue School,Bellevue ISD,A,28,64,92,242,https://txschools.net/campus/bellevue-school-039904001
34,7983,10,092901001,Gladewater HS,Gladewater ISD,A,28,65,93,469,https://txschools.net/campus/gladewater-hs-092901001
34,7983,10,237902041,Hempstead MS,Hempstead ISD,B,28,58,86,318,https://txschools.net/campus/hempstead-ms-237902041
34,7983,10,015907136,Hillcrest Elem,San Antonio ISD,B,28,58,86,392,https://txschools.net/campus/hillcrest-elem-015907136
34,7983,10,227820030,KIPP Oak Cliff Academy,KIPP Texas Public Schools,B,28,60,88,304,https://txschools.net/campus/kipp-oak-cliff-academy-227820030
34,7983,10,057905025,Skyline HS,Dallas ISD,A,28,62,90,3552,https://txschools.net/campus/skyline-hs-057905025
34,7983,10,188901005,Tascosa HS,Amarillo ISD,A,28,62,90,2102,https://txschools.net/campus/tascosa-hs-188901005
34,7983,10,101903003,Taylor HS,Alief ISD,B,28,58,86,2752,https://txschools.net/campus/taylor-hs-101903003
34,7983,10,226801002,Texas Leadership of Midland,Texas Leadership Public Schools,B,28,55,83,824,https://txschools.net/campus/texas-leadership-of-midland-226801002
34,7983,10,046901038,Two Rivers HS,New Braunfels ISD,A,28,70,98,62,https://txschools.net/campus/two-rivers-hs-046901038
34,7983,10,101912009,Wisdom HS,Houston ISD,B,28,58,86,1607,https://txschools.net/campus/wisdom-hs-101912009
45,7983,6,101902012,Davis HS Aldine,Aldine ISD,B,27,56,83,2945,https://txschools.net/campus/davis-hs-aldine-101902012
45,7983,6,121904001,Jasper HS,Jasper ISD,B,27,53,80,581,https://txschools.net/campus/jasper-hs-121904001
45,7983,6,220910001,Lake Worth HS,Lake Worth ISD,B,27,59,86,891,https://txschools.net/campus/lake-worth-hs-220910001
45,7983,6,057905009,Lincoln Humanities/Communications Magnet High Sch,Dallas ISD,B,27,59,86,590,https://txschools.net/campus/lincoln-humanities-communications-magnet-high-sch-057905009
45,7983,6,091918001,Tom Bean HS,Tom Bean ISD,A,27,66,93,227,https://txschools.net/campus/tom-bean-hs-091918001
45,7983,6,057905014,W W Samuell HS,Dallas ISD,C,27,52,79,1514,https://txschools.net/campus/w-w-samuell-hs-057905014
45,7983,6,101912015,Waltrip HS,Houston ISD,A,27,65,92,1519,https://txschools.net/campus/waltrip-hs-101912015
52,7983,18,057829002,A' Secondary School,A' Academy,B,26,62,88,829,https://txschools.net/campus/a-secondary-school-057829002
52,7983,18,010902001,Bandera HS,Bandera ISD,C,26,53,79,666,https://txschools.net/campus/bandera-hs-010902001
52,7983,18,123910014,Beaumont United HS,Beaumont ISD,C,26,53,79,1864,https://txschools.net/campus/beaumont-united-hs-123910014
52,7983,18,220901004,Bowie HS,Arlington ISD,B,26,58,84,2065,https://txschools.net/campus/bowie-hs-220901004
52,7983,18,101902002,Carver HS for Applied Tech/Engineering/Arts,Aldine ISD,A,26,69,95,640,https://txschools.net/campus/carver-hs-for-applied-tech-engineering-arts-101902002
52,7983,18,185902001,Farwell HS,Farwell ISD,A,26,70,96,188,https://txschools.net/campus/farwell-hs-185902001
52,7983,18,246902001,Florence HS,Florence ISD,A,26,66,92,347,https://txschools.net/campus/florence-hs-246902001
52,7983,18,186902001,Fort Stockton High,Fort Stockton ISD,B,26,63,89,650,https://txschools.net/campus/fort-stockton-high-186902001
52,7983,18,057905017,H Grady Spruce HS,Dallas ISD,C,26,52,78,1207,https://txschools.net/campus/h-grady-spruce-hs-057905017
52,7983,18,201902001,Henderson HS,Henderson ISD,B,26,63,89,963,https://txschools.net/campus/henderson-hs-201902001
52,7983,18,057848013,ILTexas North Richland Hills MS,International Leadership of Texas (ILTexas),A,26,64,90,346,https://txschools.net/campus/iltexas-north-richland-hills-ms-057848013
52,7983,18,070907001,Italy HS,Italy ISD,B,26,63,89,283,https://txschools.net/campus/italy-hs-070907001
52,7983,18,057905271,Julian T Saldivar Elem,Dallas ISD,C,26,51,77,622,https://txschools.net/campus/julian-t-saldivar-elem-057905271
52,7983,18,101915002,Klein Forest HS,Klein ISD,B,26,63,89,3201,https://txschools.net/campus/klein-forest-hs-101915002
52,7983,18,101912010,Madison HS,Houston ISD,A,26,64,90,1429,https://txschools.net/campus/madison-hs-101912010
52,7983,18,014801004,Richard Milburn Academy Lubbock,Richard Milburn Alter High School (Killeen),B,26,56,82,135,https://txschools.net/campus/richard-milburn-academy-lubbock-014801004
52,7983,18,235902006,Visd Success Academy,Victoria ISD,B,26,60,86,212,https://txschools.net/campus/visd-success-academy-235902006
52,7983,18,057905021,W T White HS,Dallas ISD,B,26,59,85,1944,https://txschools.net/campus/w-t-white-hs-057905021
52,7983,18,101912082,Williams MS,Houston ISD,A,26,65,91,270,https://txschools.net/campus/williams-ms-101912082
71,7983,5,174901001,Chireno HS,Chireno ISD,A,25,66,91,124,https://txschools.net/campus/chireno-hs-174901001
71,7983,5,212801001,Cumberland Academy HS,Cumberland Academy,B,25,64,89,364,https://txschools.net/campus/cumberland-academy-hs-212801001
